CAN Unit,Description,Unnamed: 2,NOTES
A-BAG,Air Bag Diagnosis Sensor Unit,,These are terms and acronyms used in the manual that apply to the CAN system
ABS ,ABS Actuator and Electric Unit (Control Unit),,
AV ,AV Control Unit,,
BCM ,Body Control Module,,
C/ROOF ,Soft Top Control Unit,,
DLC ,Data link connector,,
ECM ,Engine Control Module,,
HVAC ,A/C Auto Amplifier,,
IPDM-E/R,Intelligent Power Distribution Module - Engine Room,,
M&A ,Combination Meter,,
STRG ,Steering Angle Sensor,,
TCM ,Transmission Control Module,,
,,,
Term,Description,,
A/C,Air Conditioner/Conditioning,,
A/T,Automatic Transaxle/Transmission,,
ABS,Anti-Lock Braking System,,
ASCD,Automatic Speed Control Device (Cruise Control),,
OD,Overdrive,,
PNP,Park/Neutral Position,,
TCS,Traction Control System,,
Tonneau,Convertible Soft Top,,
TPMS,Tire Pressure Monitoring System,,
Triple Meter,Three gauges in center of dash,,
VDC,Vehicle Dynamics Control System,,
